host,value
hglzettyyz,0.0
caarmornyd,0.0
rmjvqwkybl,0.0
blurablooz,0.0
gqveepksag,0.0
lkunmakvhp,0.0
axxlfksgbv,0.0
zzdruxxfoe,0.0
ztkujaefcd,0.0
mgllbhrynm,0.0
mttxabhvis,0.0
ngkhycwnkb,0.0
fgccjsstxy,0.0
lybkydxmna,0.0
oxktpacbek,0.0
bsimwvylxs,0.0
lesnximlej,0.0
jyskkjpnzx,0.0
pahvklrzuo,0.0
kuvwzhiasc,0.0
ezxvwfvdai,0.0
hqusawhxjl,0.0
cjlnsulosd,0.0
cqaffcnocm,0.0
axhtrczpys,0.0
iziseojazw,0.0
tbrgsflhtc,0.0
ggxhhpsggz,0.0
awjlkneaek,0.0
jugnjmvktu,0.0
oiomycgnnl,0.0
ppbzxkrzok,0.0
mutxfdtvii,0.0
mjslrapthh,0.0
ycrakctoej,0.0
jqnpdfmnjy,0.0
tkseiwkwnd,0.0
xpfradxgze,0.0
cggkxbstwt,0.0
gzlwtnbplo,0.0
aajnkwwjyq,0.0
avpytowyqz,0.0
flxolcugax,0.0
cqtptzqdbz,0.0
isncfsmbgs,0.0
akkyuiodgc,0.0
gcyumxabfq,0.0
ujzbitljwm,0.0
adhseoftdw,0.0
fmvloysnnr,0.0
tsjnmybbuq,0.0
zdkggwojpo,0.0
gmwwgkwhsj,0.0
elmvotwbij,0.0
fzrxsiktsn,0.0
wrjffoxkfb,0.0
wymtnqpicy,0.0
bvanxlielo,0.0
iktwutyvfp,0.0
sonfcqklqw,0.0
whsglaarym,0.0
nhninuceqw,0.0
plvovpndla,0.0
irluvlnafb,0.0
aeblcxibdh,0.0
szribwsotf,0.0
mpqkbngosv,0.0
zvyuftmxgx,0.0
lgmswfckdn,0.0
pmdkdhldjc,0.0
ocwwzlwffj,0.0
raeufpcyjs,0.0
rgjfwkjllx,0.0
vyawiobana,0.0
tfqfccieys,0.0
tyacgpxyms,0.0
foaazikjlu,0.0
wooynmjhlc,0.0
vrznwxpdin,0.0
vzjzykzpes,0.0
